,ETH,BTC,USDT,XRP
2024-11-22 00:00:00,3331.77,99024.03,1.001,1.4746
2024-11-23 00:00:00,3397.51,97778.77,1.00089,1.4705
2024-11-24 00:00:00,3365.16,98028.18,1.001,1.4351
2024-11-25 00:00:00,3414.72,93000.01,0.99993,1.4144
2024-11-26 00:00:00,3323.67,91929.54,0.99952,1.3979
2024-11-27 00:00:00,3657.63,95951.19,1.0009,1.4713
2024-11-28 00:00:00,3579.11,95665.53,1.00008,1.5426
2024-11-29 00:00:00,3593.67,97490.56,1.0004,1.8022
2024-11-30 00:00:00,3706.35,96465.42,1.00055,1.9528
2024-12-01 00:00:00,3710.24,97263.18,1.0006,2.2978
2024-12-02 00:00:00,3644.52,95862.89,1.00033,2.7289
2024-12-03 00:00:00,3617.59,95924.52,1.00065,2.5127
2024-12-04 00:00:00,3843.33,98746.24,1.00143,2.361
2024-12-05 00:00:00,3788.93,97044.23,1.00103,2.2466
2024-12-06 00:00:00,4004.83,99891.35,1.00151,2.4304
2024-12-07 00:00:00,4000.01,99929.32,1.00078,2.6121
2024-12-08 00:00:00,4006.75,101174.99,1.00055,2.6037
2024-12-09 00:00:00,3713.57,97324.81,1.00041,2.2129
2024-12-10 00:00:00,3630.34,96660.76,1.00059,2.373
2024-12-11 00:00:00,3835.08,101202.11,1.00059,2.3957
2024-12-12 00:00:00,3882.68,100030.47,1.00014,2.3388
2024-12-13 00:00:00,3907.87,101428.75,1.00016,2.4225
2024-12-14 00:00:00,3869.25,101399.99,0.99979,2.4005
2024-12-15 00:00:00,3957.7,104447.76,0.99967,2.4465
2024-12-16 00:00:00,3987.6,106099.81,1.00026,2.4854
2024-12-17 00:00:00,3893.54,106136.99,1.00005,2.5676
2024-12-18 00:00:00,3624.84,100150.73,0.99949,2.3092
2024-12-19 00:00:00,3414.35,97372.21,0.99912,2.2376
2024-12-20 00:00:00,3470.47,97765.0,0.99953,2.2786
2024-12-21 00:00:00,3337.09,97230.08,0.9994,2.2365
2024-12-22 00:00:00,3278.6,95087.75,0.999,2.201
2024-12-23 00:00:00,3418.12,94764.56,0.99872,2.2592
2024-12-24 00:00:00,3491.13,98594.47,0.99927,2.3223
2024-12-25 00:00:00,3493.95,99346.28,0.99915,2.2958
2024-12-26 00:00:00,3330.86,95669.49,0.99881,2.1537
2024-12-27 00:00:00,3328.6,94171.89,0.99852,2.1437
2024-12-28 00:00:00,3397.87,95130.82,0.99816,2.1806
2024-12-29 00:00:00,3350.23,93563.35,0.99814,2.0903
2024-12-30 00:00:00,3355.66,92620.71,0.99812,2.0553
2024-12-31 00:00:00,3330.32,93354.22,0.99791,2.0793
2025-01-01 00:00:00,3353.32,94383.59,0.99789,2.3285
2025-01-02 00:00:00,3452.39,96903.19,0.99898,2.4008
2025-01-03 00:00:00,3607.68,98136.51,0.99951,2.4538
2025-01-04 00:00:00,3656.4,98209.85,0.99983,2.4199
2025-01-05 00:00:00,3635.46,98345.33,0.99978,2.399
2025-01-06 00:00:00,3688.74,102279.41,1.0004,2.4212
2025-01-07 00:00:00,3380.29,96941.98,0.9998,2.2709
2025-01-08 00:00:00,3326.29,95036.63,0.99973,2.3727
2025-01-09 00:00:00,3218.81,92547.44,0.99994,2.2726
2025-01-10 00:00:00,3266.53,94701.18,0.99978,2.3413
2025-01-11 00:00:00,3282.01,94565.02,0.99962,2.576
2025-01-12 00:00:00,3266.02,94509.62,0.99944,2.5033
2025-01-13 00:00:00,3136.08,94506.45,0.99957,2.5227
2025-01-14 00:00:00,3223.97,96534.96,0.99964,2.6674
2025-01-15 00:00:00,3451.58,100510.23,1.00006,3.1428
2025-01-16 00:00:00,3307.73,99981.78,0.99986,3.2452
2025-01-17 00:00:00,3475.47,104107.0,1.00036,3.2942
2025-01-18 00:00:00,3304.07,104435.0,0.99883,3.2663
2025-01-19 00:00:00,3210.03,101211.13,0.99861,2.9565
2025-01-20 00:00:00,3280.4,102145.43,0.99878,3.1022
2025-01-21 00:00:00,3327.57,106159.26,1.00007,3.1748
2025-01-22 00:00:00,3241.35,103667.11,0.9995,3.1792
2025-01-23 00:00:00,3338.67,103926.36,1.00014,3.12
2025-01-24 00:00:00,3309.72,104850.27,0.9999,3.1009
2025-01-25 00:00:00,3318.37,104733.56,0.99983,3.1073
2025-01-26 00:00:00,3231.48,102563.0,0.9996,3.0211
2025-01-27 00:00:00,3181.93,102062.42,0.99983,3.0547
2025-01-28 00:00:00,3076.06,101290.0,0.99941,3.0557
2025-01-29 00:00:00,3114.03,103747.25,1.0,3.0685
2025-01-30 00:00:00,3247.48,104742.64,1.00008,3.128
2025-01-31 00:00:00,3299.99,102411.26,0.99968,3.0353
2025-02-01 00:00:00,3116.78,100623.85,0.99976,2.878
2025-02-02 00:00:00,2869.25,97676.52,0.99976,2.5797
2025-02-03 00:00:00,2883.62,101460.2,1.001,2.7034
2025-02-04 00:00:00,2732.07,97795.05,1.00022,2.5283
2025-02-05 00:00:00,2788.3,96638.33,1.00004,2.3813
2025-02-06 00:00:00,2687.1,96564.62,1.00005,2.3252
2025-02-07 00:00:00,2622.95,96537.08,1.00019,2.3975
2025-02-08 00:00:00,2632.62,96476.25,1.00012,2.4195
2025-02-09 00:00:00,2627.87,96475.82,1.00014,2.3938
2025-02-10 00:00:00,2661.87,97444.41,1.00016,2.4241
2025-02-11 00:00:00,2602.03,95774.08,0.99984,2.4126
2025-02-12 00:00:00,2738.58,97862.53,1.00003,2.4738
2025-02-13 00:00:00,2676.09,96625.29,1.00007,2.5607
2025-02-14 00:00:00,2726.32,97509.03,1.00005,2.739
2025-02-15 00:00:00,2693.58,97596.94,1.00015,2.7626
2025-02-16 00:00:00,2661.51,96119.88,1.00005,2.7288
2025-02-17 00:00:00,2744.1,95781.8,0.99994,2.66
2025-02-18 00:00:00,2670.59,95607.4,0.99938,2.561
2025-02-19 00:00:00,2715.27,96632.03,0.9999,2.7377
2025-02-20 00:00:00,2738.65,98347.2,1.00016,2.6884
2025-02-21 00:00:00,2661.69,96157.03,0.99938,2.571
2025-02-22 00:00:00,2763.5,96582.12,1.00006,2.5739
2025-02-23 00:00:00,2819.63,96265.98,0.99996,2.5761
2025-02-24 00:00:00,2513.35,91510.82,0.9998,2.2774
2025-02-25 00:00:00,2492.37,88583.74,0.99877,2.3198
2025-02-26 00:00:00,2332.93,84111.78,0.99853,2.1954
2025-02-27 00:00:00,2305.21,84625.19,0.99905,2.1967
2025-02-28 00:00:00,2236.36,84297.73,0.99955,2.1448
2025-03-01 00:00:00,2216.51,86018.76,0.99956,2.1911
2025-03-02 00:00:00,2518.39,94265.48,1.00008,2.9398
2025-03-03 00:00:00,2147.53,86161.1,0.99927,2.3858
2025-03-04 00:00:00,2170.92,87249.96,0.99978,2.4537
2025-03-05 00:00:00,2241.53,90603.73,0.99998,2.4998
2025-03-06 00:00:00,2202.42,89921.85,0.99997,2.5998
2025-03-07 00:00:00,2140.81,86756.98,0.99955,2.3843
2025-03-08 00:00:00,2203.03,86206.69,0.99967,2.3258
2025-03-09 00:00:00,2020.02,80699.17,0.99968,2.138
2025-03-10 00:00:00,1864.12,78544.71,0.99943,2.02
2025-03-11 00:00:00,1923.08,82914.51,0.99971,2.1697
2025-03-12 00:00:00,1907.93,83659.43,0.99974,2.2393
2025-03-13 00:00:00,1863.81,81073.43,0.99953,2.2517
2025-03-14 00:00:00,1911.65,83980.49,1.00001,2.3567
2025-03-15 00:00:00,1937.61,84351.46,1.00002,2.3913
2025-03-16 00:00:00,1886.8,82562.57,0.99993,2.2934
