area_m2,price_usd,lat,lon,place
110,187230.85,-9.6443051,-35.7088142,Maceió
65,81133.37,-9.6430934,-35.70484,Maceió
99,146013.2,-9.622837,-35.719556,Maceió
55,101416.71,-9.654955,-35.700227,Maceió
56,75727.07,-9.614414,-35.735621,Maceió
68,110916.18,-9.584755,-35.662909,Maceió
187,249641.14,-9.658285,-35.703827,Maceió
90,115459.02,-9.66082,-35.702976,Maceió
137,361979.65,-9.6637998,-35.7115455,Maceió
101,131061.59,-9.661504,-35.702961,Maceió
250,466625.47,-9.629426,-35.69973,Maceió
136,162941.08,-9.64956,-35.73711,Maceió
145,200197.52,-9.6608,-35.705772,Maceió
138,188295.26,-9.649588,-35.708401,Maceió
175,405666.85,-9.650917,-35.706558,Maceió
122,187230.85,-9.658275,-35.705242,Maceió
98,118579.54,-9.66082,-35.702976,Maceió
107,183069.25,-9.661148,-35.700417,Maceió
68,86366.47,-9.638323,-35.74342,Maceió
118,199559.38,-9.658285,-35.703827,Maceió
205,106050.67,-9.66356,-35.73373,Maceió
130,209074.45,-9.659634,-35.705776,Maceió
120,87374.39,-12.993305,-38.45739,Salvador
82,87374.39,-12.993305,-38.45739,Salvador
88,168507.77,-12.964468,-38.417938,Salvador
127,202833.42,-12.985207,-38.456074,Salvador
139,202521.37,-12.96049,-38.405239,Salvador
139,205641.88,-12.96049,-38.405239,Salvador
139,327341.94,-12.96049,-38.405239,Salvador
84,109217.99,-12.477871,-38.126591,Mata de São João
57,93303.37,-12.939807,-38.367931,Salvador
182,468077.13,-13.004878,-38.532276,Salvador
115,205953.94,-12.993305,-38.45739,Salvador
105,106097.48,-12.996323,-38.481049,Salvador
108,102976.97,-12.477871,-38.126591,Mata de São João
72,143408.53,-12.965071,-38.435036,Salvador
54,121388.0,-12.985207,-38.456074,Salvador
55,89558.75,-12.985207,-38.456074,Salvador
70,154465.45,-12.985207,-38.456074,Salvador
107,190351.36,-13.000443,-38.45739,Salvador
186,414965.98,-13.009664,-38.486431,Salvador
90,177025.52,-12.964468,-38.417938,Salvador
55,98296.19,-12.971756,-38.438103,Salvador
225,390064.28,-13.002785,-38.519222,Salvador
54,79573.11,-12.972996,-38.47842,Salvador
225,254587.15,-13.000443,-38.45739,Salvador
75,177931.09,-12.964468,-38.417938,Salvador
75,107713.59,-12.973443,-38.431145,Salvador
243,470485.55,-12.941992,-38.403465,Salvador
68,137302.62,-12.985207,-38.456074,Salvador
66,122436.49,-12.973443,-38.431145,Salvador
63,121127.12,-12.973443,-38.431145,Salvador
90,204926.35,-12.985207,-38.456074,Salvador
76,140423.14,-12.941992,-38.403465,Salvador
83,153352.36,-12.937969,-38.381538,Salvador
76,99856.45,-12.974552,-38.496819,Salvador
67,137674.59,-12.991246,-38.492966,Salvador
56,99683.89,-12.957254,-38.429649,Salvador
83,221393.62,-12.957254,-38.429649,Salvador
83,206020.72,-12.957254,-38.429649,Salvador
90,292482.05,-13.004092,-38.5047,Salvador
89,149507.27,-13.000443,-38.45739,Salvador
70,164886.72,-12.98223,-38.43898,Salvador
61,121700.05,-12.98223,-38.43898,Salvador
122,187230.85,-13.009679,-38.486305,Salvador
80,132517.0,-12.949672,-38.409973,Salvador
240,343256.56,-13.004092,-38.5047,Salvador
106,171628.28,-13.000443,-38.45739,Salvador
132,348481.86,-13.000164,-38.489021,Salvador
133,267153.15,-12.984901,-38.439594,Salvador
76,165948.63,-12.994164,-38.518372,Salvador
76,173566.12,-12.994164,-38.518372,Salvador
100,81133.37,-12.992462,-38.444553,Salvador
66,131061.59,-13.004092,-38.5047,Salvador
93,109217.99,-12.981397,-38.441444,Salvador
110,112338.51,-12.993305,-38.45739,Salvador
85,90494.91,-12.938337,-38.362667,Salvador
115,152905.19,-13.000443,-38.45739,Salvador
58,109217.99,-13.001169,-38.49419,Salvador
191,207514.19,-13.000443,-38.45739,Salvador
170,202833.42,-12.958966,-38.405651,Salvador
67,215647.81,-12.9349962,-38.3576186,Salvador
185,138862.88,-12.998506,-38.52309,Salvador
56,81133.37,-13.004878,-38.532276,Salvador
95,109217.99,-13.004878,-38.532276,Salvador
120,112338.51,-12.996323,-38.481049,Salvador
110,112338.51,-12.985207,-38.456074,Salvador
110,118579.54,-12.985207,-38.456074,Salvador
114,241839.85,-13.002217,-38.516796,Salvador
98,155713.66,-13.002217,-38.516796,Salvador
83,134119.7,-13.000443,-38.45739,Salvador
102,190507.39,-13.007612,-38.49474,Salvador
63,196592.39,-13.004092,-38.5047,Salvador
